fluorochrome	syn
AlexaFluor750	alexafluor750
AlexaFluor750	alexa750
AlexaFluor750	afluor750
AlexaFluor750	a750
AlexaFluor750	alexaf750
AlexaFluor750	af750
AlexaFluor790	alexafluor790
AlexaFluor790	alexa790
AlexaFluor790	afluor790
AlexaFluor790	a790
AlexaFluor790	alexaf790
AlexaFluor790	af790
AlexaFluorPlus405	alexafluorplus405
AlexaFluorPlus405	alexaplus405
AlexaFluorPlus405	afluorplus405
AlexaFluorPlus405	aplus405
AlexaFluorPlus405	alexafplus405
AlexaFluorPlus405	afplus405
AlexaFluorPlus405	alexafluorp405
AlexaFluorPlus405	alexap405
AlexaFluorPlus405	afluorp405
AlexaFluorPlus405	ap405
AlexaFluorPlus405	alexafp405
AlexaFluorPlus405	afp405
AlexaFluorPlus488	alexafluorplus488
AlexaFluorPlus488	alexaplus488
AlexaFluorPlus488	afluorplus488
AlexaFluorPlus488	aplus488
AlexaFluorPlus488	alexafplus488
AlexaFluorPlus488	afplus488
AlexaFluorPlus488	alexafluorp488
AlexaFluorPlus488	alexap488
AlexaFluorPlus488	afluorp488
AlexaFluorPlus488	ap488
AlexaFluorPlus488	alexafp488
AlexaFluorPlus488	afp488
AlexaFluorPlus555	alexafluorplus555
AlexaFluorPlus555	alexaplus555
AlexaFluorPlus555	afluorplus555
AlexaFluorPlus555	aplus555
AlexaFluorPlus555	alexafplus555
AlexaFluorPlus555	afplus555
AlexaFluorPlus555	alexafluorp555
AlexaFluorPlus555	alexap555
AlexaFluorPlus555	afluorp555
AlexaFluorPlus555	ap555
AlexaFluorPlus555	alexafp555
AlexaFluorPlus555	afp555
AlexaFluorPlus594	alexafluorplus594
AlexaFluorPlus594	alexaplus594
AlexaFluorPlus594	afluorplus594
AlexaFluorPlus594	aplus594
AlexaFluorPlus594	alexafplus594
AlexaFluorPlus594	afplus594
AlexaFluorPlus594	alexafluorp594
AlexaFluorPlus594	alexap594
AlexaFluorPlus594	afluorp594
AlexaFluorPlus594	ap594
AlexaFluorPlus594	alexafp594
AlexaFluorPlus594	afp594
AlexaFluorPlus647	alexafluorplus647
AlexaFluorPlus647	alexaplus647
AlexaFluorPlus647	afluorplus647
AlexaFluorPlus647	aplus647
AlexaFluorPlus647	alexafplus647
AlexaFluorPlus647	afplus647
AlexaFluorPlus647	alexafluorp647
AlexaFluorPlus647	alexap647
AlexaFluorPlus647	afluorp647
AlexaFluorPlus647	ap647
AlexaFluorPlus647	alexafp647
AlexaFluorPlus647	afp647
AlexaFluorPlus680	alexafluorplus680
AlexaFluorPlus680	alexaplus680
AlexaFluorPlus680	afluorplus680
AlexaFluorPlus680	aplus680
AlexaFluorPlus680	alexafplus680
AlexaFluorPlus680	afplus680
AlexaFluorPlus680	alexafluorp680
AlexaFluorPlus680	alexap680
AlexaFluorPlus680	afluorp680
AlexaFluorPlus680	ap680
AlexaFluorPlus680	alexafp680
AlexaFluorPlus680	afp680
AlexaFluorPlus750	alexafluorplus750
AlexaFluorPlus750	alexaplus750
AlexaFluorPlus750	afluorplus750
AlexaFluorPlus750	aplus750
AlexaFluorPlus750	alexafplus750
AlexaFluorPlus750	afplus750
AlexaFluorPlus750	alexafluorp750
AlexaFluorPlus750	alexap750
AlexaFluorPlus750	afluorp750
AlexaFluorPlus750	ap750
AlexaFluorPlus750	alexafp750
AlexaFluorPlus750	afp750
AlexaFluorPlus800	alexafluorplus800
AlexaFluorPlus800	alexaplus800
AlexaFluorPlus800	afluorplus800
AlexaFluorPlus800	aplus800
AlexaFluorPlus800	alexafplus800
AlexaFluorPlus800	afplus800
AlexaFluorPlus800	alexafluorp800
AlexaFluorPlus800	alexap800
AlexaFluorPlus800	afluorp800
AlexaFluorPlus800	ap800
AlexaFluorPlus800	alexafp800
AlexaFluorPlus800	afp800
AlizarinRed	alizarinred
AlizarinRed	alizarinr
AlphaFluor488	alphafluor488
AlphaFluor488	alphaf488
Aluora430	aluora430
Aluora488	aluora488
Aluora514	aluora514
Aluora555	aluora555
Aluora594	aluora594
Aluora647	aluora647
Aluora700	aluora700
Aluora750	aluora750
AMCA	amca
AmCyan	amcyan
AmCyan-Protein	amcyanprotein
AmethystOrange	amethystorange
AmethystOrange	amorange
AmethystOrange	amethysto
AmethystOrange	amo
AmplexRed	amplexred
AmplexRed	amplexr
APC	apc
APC-AlexaFluor680	apcalexafluor680
APC-AlexaFluor680	apcalexa680
APC-AlexaFluor680	apcafluor680
APC-AlexaFluor680	apca680
APC-AlexaFluor680	apcalexaf680
APC-AlexaFluor680	apcaf680
APC-AlexaFluor680	allophycocyaninalexafluor680
APC-AlexaFluor680	allophycocyaninalexa680
