fluorochrome	type	nm	norm_intensity	source	num
CellROXOrange	em	571	100	th	1
CellROXOrange	ex	553	100	th	1
CellTraceBlue	em	407	100	bd	1
CellTraceBlue	ex	362	100	bd	1
CellTraceBlue	em	409	100	th	1
CellTraceBlue	ex	368	100	th	1
CellTraceCalceinViolet	em	452	100	bl	1
CellTraceCalceinViolet	ex	401	100	bl	1
CellTraceFarRed	em	657	100	th	1
CellTraceFarRed	ex	630	100	th	1
CellTraceOregonGreen	em	526	100	th	1
CellTraceOregonGreen	ex	331	18	th	1
CellTraceOregonGreen	ex	498	100	th	2
CellTraceViolet	em	454	100	bd	1
CellTraceViolet	ex	392	100	bd	1
CellTraceViolet	em	456	100	bl	1
CellTraceViolet	ex	392	100	bl	1
CellTraceViolet	em	456	100	th	1
CellTraceViolet	ex	392	100	th	1
CellTraceYellow	em	578	100	th	1
CellTraceYellow	ex	552	100	th	1
CellTrackerBlueCMF2HC	em	448	100	th	1
CellTrackerBlueCMF2HC	ex	360	100	th	1
CellTrackerBlueCMHC	em	448	100	th	1
CellTrackerBlueCMHC	ex	360	100	th	1
CellTrackerCM-Dil	em	569	100	th	1
CellTrackerCM-Dil	ex	520	60	th	1
CellTrackerCM-Dil	ex	551	100	th	2
CellTrackerDeepRed	em	657	100	th	1
CellTrackerDeepRed	ex	630	100	th	1
CellTrackerGreenCMFDA	em	517	100	th	1
CellTrackerGreenCMFDA	ex	498	100	th	1
CellTrackerOrangeCMTMR	em	578	100	th	1
CellTrackerOrangeCMTMR	ex	552	100	th	1
CellTrackerRedCMTPX	em	613	100	th	1
CellTrackerRedCMTPX	ex	585	100	th	1
Cy3	em	566	100	bl	1
Cy3	ex	521	53	bl	1
Cy3	ex	554	100	bl	2
Cy3	em	566	100	th	1
Cy3	ex	521	54	th	1
Cy3	ex	553	100	th	2
Cy3.5	em	590	100	th	1
Cy3.5	em	636	45	th	2
Cy3.5	ex	540	63	th	1
Cy3.5	ex	577	100	th	2
Cy5	em	664	99	bl	1
Cy5	ex	645	99	bl	1
Cy5	em	663	100	th	1
Cy5	ex	603	34	th	1
Cy5	ex	646	100	th	2
Cy7	em	776	100	th	1
Cy7	ex	751	100	th	1
CyQuant	em	523	100	th	1
CyQuant	ex	502	100	th	1
CytophaseViolet	em	444	100	bl	1
CytophaseViolet	ex	368	100	bl	1
DAF-FM	em	519	100	th	1
DAF-FM	ex	495	100	th	1
DAPI	em	462	100	bd	1
DAPI	ex	358	100	bd	1
DAPI	em	461	100	bl	1
DAPI	ex	359	100	bl	1
DAPI	em	462	100	th	1
DAPI	ex	359	100	th	1
DCF	em	525	100	th	1
DCF	ex	504	100	th	1
DDAO	em	657	100	th	1
DDAO	ex	314	28	th	1
DDAO	ex	648	100	th	2
DRAQ5	em	694	100	bd	1
DRAQ5	ex	597	100	bd	1
DRAQ5	ex	642	88	bd	2
DRAQ5	em	678	100	bl	1
DRAQ5	ex	305	42	bl	1
DRAQ5	ex	597	100	bl	2
DRAQ5	ex	643	88	bl	3
DRAQ5	em	696	100	th	1
DRAQ5	ex	597	100	th	1
DRAQ5	ex	642	88	th	2
DRAQ7	em	694	100	bd	1
DRAQ7	ex	598	100	bd	1
DRAQ7	ex	644	82	bd	2
DRAQ7	em	676	100	bl	1
DRAQ7	ex	305	42	bl	1
DRAQ7	ex	598	100	bl	2
DRAQ7	ex	644	82	bl	3
Dansyl	em	526	100	th	1
Dansyl	ex	334	100	th	1
Dapoxyl	em	580	100	th	1
Dapoxyl	ex	373	100	th	1
DeepRedActin	em	512	100	th	1
DeepRedActin	ex	505	100	th	1
Di-2-ANEPEQ (JPW1114)	em	700	100	th	1
Di-2-ANEPEQ (JPW1114)	ex	489	100	th	1
Di-3-ANEPPDHQ	em	682	100	th	1
Di-3-ANEPPDHQ	ex	484	100	th	1
Di-4-ANEPPDHQ	em	679	100	th	1
Di-4-ANEPPDHQ	ex	484	100	th	1
Di-4-ANEPPS	em	685	100	th	1
Di-4-ANEPPS	ex	482	100	th	1
Di-8-ANEPPS	em	631	100	th	1
Di-8-ANEPPS	ex	311	51	th	1
Di-8-ANEPPS	ex	467	100	th	2
DiA	em	586	100	th	1
DiA	ex	455	100	th	1
DiD	em	670	100	th	1
DiD	ex	648	100	th	1
DiFMU (pH3.0)	em	450	100	th	1
DiFMU (pH3.0)	ex	320	100	th	1
DiFMU (pH9.0)	em	450	100	th	1
DiFMU (pH9.0)	ex	358	100	th	1
DiI	em	569	100	th	1
DiI	ex	520	60	th	1
DiI	ex	551	100	th	2
DiO	em	506	100	th	1
DiO	ex	489	100	th	1
DiR	em	783	100	th	1
DiR	ex	750	100	th	1
Dibromobimane (bBBr)	em	490	100	th	1
Dibromobimane (bBBr)	ex	395	100	th	1
Dihydroethidium	em	582	100	th	1
Dihydroethidium	ex	380	60	th	1
Dihydroethidium	ex	499	100	th	2
DsRed	em	583	100	th	1
DsRed	ex	335	12	th	1
DsRed	ex	487	26	th	2
DsRed	ex	559	100	th	3
DsRedDimer2	em	579	100	th	1
DsRedDimer2	ex	335	13	th	1
DsRedDimer2	ex	554	100	th	2
DsRedExpress	em	588	100	bl	1
DsRedExpress	ex	484	38	bl	1
DsRedExpress	ex	555	100	bl	2
DsRedExpress	em	583	100	th	1
DsRedExpress	ex	334	13	th	1
DsRedExpress	ex	477	77	th	2
DsRedExpress	ex	556	82	th	3
DyLight350	em	432	100	th	1
DyLight350	ex	353	100	th	1
DyLight405	em	434	99	bl	1
DyLight405	ex	378	75	bl	1
DyLight405	ex	400	98	bl	2
DyLight405	em	423	100	th	1
DyLight405	ex	378	87	th	1
DyLight405	ex	400	99	th	2
DyLight488	em	520	100	bl	1
DyLight488	ex	492	100	bl	1
DyLight488	em	520	100	th	1
DyLight488	ex	493	100	th	1
DyLight510-LS	em	572	100	th	1
DyLight510-LS	ex	325	19	th	1
DyLight510-LS	ex	494	100	th	2
DyLight515-LS	em	658	100	th	1
DyLight515-LS	ex	323	16	th	1
DyLight515-LS	ex	522	100	th	2
DyLight521-LS	em	673	100	th	1
DyLight521-LS	em	766	15	th	2
DyLight521-LS	ex	329	13	th	1
DyLight521-LS	ex	533	100	th	2
DyLight549	em	568	100	bl	1
DyLight549	ex	520	49	bl	1
DyLight549	ex	553	100	bl	2
DyLight549	em	569	100	th	1
DyLight549	ex	520	50	th	1
DyLight549	ex	553	100	th	2
DyLight550	em	570	100	th	1
DyLight550	ex	525	52	th	1
DyLight550	ex	556	100	th	2
DyLight594	em	616	99	bl	1
DyLight594	ex	591	99	bl	1
DyLight594	em	614	100	th	1
DyLight594	ex	371	14	th	1
DyLight594	ex	394	12	th	2
DyLight594	ex	587	100	th	3
DyLight633	em	649	100	bl	1
DyLight633	ex	621	100	bl	1
DyLight633	em	649	100	th	1
DyLight633	ex	620	100	th	1
DyLight649	em	673	100	bl	1
DyLight649	ex	651	100	bl	1
DyLight650	em	678	99	bl	1
DyLight650	ex	652	99	bl	1
DyLight650	em	673	100	th	1
DyLight650	ex	651	100	th	1
DyLight680	em	705	100	bl	1
DyLight680	ex	676	100	bl	1
DyLight680	em	706	100	th	1
DyLight680	ex	676	100	th	1
DyLight755	em	773	100	th	1
DyLight755	ex	754	100	th	1
DyLight800	em	785	100	th	1
DyLight800	ex	770	100	th	1
DyeCycleGreen	em	533	100	th	1
DyeCycleGreen	ex	506	100	th	1
DyeCycleOrange	em	563	100	th	1
DyeCycleOrange	ex	518	100	th	1
DyeCycleViolet	em	436	100	th	1
DyeCycleViolet	ex	370	100	th	1
ECD	em	618	100	bl	1
ECD	ex	498	61	bl	1
ECD	ex	566	99	bl	2
ECD	em	562	25	th	1
ECD	em	614	100	th	2
ECD	ex	307	17	th	1
ECD	ex	373	13	th	2
ECD	ex	496	67	th	3
ECD	ex	566	100	th	4
ECD	ex	611	17	th	5
ELF97	em	536	100	th	1
ELF97	ex	343	94	th	1
ER-TrackerBlue-WhiteDPX	em	550	100	th	1
ER-TrackerBlue-WhiteDPX	ex	372	100	th	1
ER-TrackerGreen	em	511	100	th	1
ER-TrackerGreen	ex	502	100	th	1
EndoplasmicReticulumProbeGreen	em	511	100	bl	1
EndoplasmicReticulumProbeGreen	ex	503	100	bl	1
EndoplasmicReticulumProbeRed	em	620	100	bl	1
EndoplasmicReticulumProbeRed	em	707	11	bl	2
EndoplasmicReticulumProbeRed	ex	588	100	bl	1
Eosin	em	545	100	th	1
Eosin	ex	525	100	th	1
EpoxideHydrolaseSubstrate	em	450	100	th	1
EpoxideHydrolaseSubstrate	ex	358	100	th	1
EthidiumHomodimer	em	618	100	th	1
EthidiumHomodimer	ex	528	100	th	1
FITC	em	516	100	bd	1
FITC	ex	494	100	bd	1
FITC	em	517	100	bl	1
FITC	ex	355	10	bl	1
FITC	ex	498	100	bl	2
FITC	em	517	100	th	1
FITC	ex	498	100	th	1
FM1-43	em	579	100	th	1
FM1-43	ex	473	100	th	1
FM2-10	em	609	100	th	1
FM2-10	ex	484	100	th	1
FM4-64	em	726	100	th	1
FM4-64	ex	344	36	th	1
FM4-64	ex	506	100	th	2
FM5-95	em	771	100	th	1
FM5-95	em	790	100	th	2
FM5-95	ex	528	100	th	1
FVS440UV	em	428	100	bd	1
FVS440UV	ex	336	100	bd	1
FVS450	em	443	100	bd	1
FVS450	ex	419	100	bd	1
FVS510	em	508	100	bd	1
FVS510	ex	411	100	bd	1
FVS520	em	521	100	bd	1
FVS520	ex	322	16	bd	1
FVS520	ex	494	100	bd	2
FVS570	em	567	100	bd	1
FVS570	em	606	42	bd	2
FVS570	ex	523	51	bd	1
FVS570	ex	556	100	bd	2
FVS575V	em	586	100	bd	1
FVS575V	ex	396	100	bd	1
FVS620	em	622	100	bd	1
FVS620	ex	341	37	bd	1
FVS620	ex	376	18	bd	2
FVS620	ex	524	100	bd	3
FVS660	em	663	100	bd	1
FVS660	ex	648	100	bd	1
FVS700	em	693	100	bd	1
FVS700	ex	621	86	bd	1
FVS700	ex	657	100	bd	2
FVS780	em	778	100	bd	1
FVS780	ex	753	100	bd	1
FastBlue	em	753	100	th	1
FastBlue	ex	343	47	th	1
FastBlue	ex	361	48	th	2
FastBlue	ex	610	97	th	3
FastBlue	ex	628	95	th	4
FastBlue	ex	663	100	th	5
FilmTracerCalceinRedOrange	em	592	100	th	1
FilmTracerCalceinRedOrange	ex	575	100	th	1
FilmTracerCalceinViolet	em	452	100	th	1
FilmTracerCalceinViolet	ex	401	100	th	1
FixableViabilityDyeeFluor450	em	445	100	bl	1
FixableViabilityDyeeFluor450	ex	405	100	bl	1
FixableViabilityDyeeFluor450	em	445	100	th	1
FixableViabilityDyeeFluor450	ex	405	100	th	1
FixableViabilityDyeeFluor455UV	em	455	100	bl	1
FixableViabilityDyeeFluor455UV	ex	348	100	bl	1
FixableViabilityDyeeFluor455UV	em	455	100	th	1
FixableViabilityDyeeFluor455UV	ex	347	100	th	1
FixableViabilityDyeeFluor506	em	505	99	bl	1
FixableViabilityDyeeFluor506	ex	410	84	bl	1
FixableViabilityDyeeFluor506	em	505	99	th	1
FixableViabilityDyeeFluor506	ex	410	84	th	1
FixableViabilityDyeeFluor520	em	521	99	bl	1
FixableViabilityDyeeFluor520	ex	321	14	bl	1
FixableViabilityDyeeFluor520	ex	493	99	bl	2
FixableViabilityDyeeFluor520	em	523	100	th	1
FixableViabilityDyeeFluor520	ex	322	14	th	1
FixableViabilityDyeeFluor520	ex	493	100	th	2
FixableViabilityDyeeFluor660	em	657	100	th	1
FixableViabilityDyeeFluor660	ex	643	100	th	1
FixableViabilityDyeeFluor780	em	785	100	bl	1
FixableViabilityDyeeFluor780	ex	754	100	bl	1
FixableViabilityDyeeFluor780	em	786	100	th	1
FixableViabilityDyeeFluor780	ex	753	100	th	1
FlAsH	em	531	100	th	1
FlAsH	ex	511	100	th	1
FlashPhalloidinGreen488	em	520	100	bl	1
FlashPhalloidinGreen488	ex	495	100	bl	1
FlashPhalloidinNIR647	em	666	100	bl	1
FlashPhalloidinNIR647	ex	647	100	bl	1
FlashPhalloidinRed594	em	611	100	bl	1
FlashPhalloidinRed594	ex	551	34	bl	1
FlashPhalloidinRed594	ex	591	100	bl	2
Fluo-3 (CalciumBound)	em	527	100	th	1
Fluo-3 (CalciumBound)	ex	507	100	th	1
Fluo-4 (CalciumBound)	em	516	100	th	1
Fluo-4 (CalciumBound)	ex	494	100	th	1
Fluo-4AM	em	516	100	bd	1
Fluo-4AM	ex	494	100	bd	1
FluoSpheresBlueFluorescentMicrospheres	em	413	100	th	1
FluoSpheresBlueFluorescentMicrospheres	ex	356	100	th	1
FluoSpheresCrimsonFluorescentMicrospheres	em	646	100	th	1
FluoSpheresCrimsonFluorescentMicrospheres	ex	620	100	th	1
FluoSpheresDarkRedFluorescentMicrospheres	em	684	100	th	1
FluoSpheresDarkRedFluorescentMicrospheres	ex	656	100	th	1
FluoSpheresNileRedFluorescentMicrospheres	em	639	100	th	1
FluoSpheresNileRedFluorescentMicrospheres	ex	536	100	th	1
FluoSpheresOrangeFluorescentMicrospheres	em	560	100	th	1
FluoSpheresOrangeFluorescentMicrospheres	ex	540	100	th	1
FluoSpheresRedFluorescentMicrospheres	em	607	100	th	1
FluoSpheresRedFluorescentMicrospheres	ex	577	100	th	1
FluoSpheresYellowGreenFluorescentMicrospheres	em	514	100	th	1
FluoSpheresYellowGreenFluorescentMicrospheres	ex	503	100	th	1
FluoroMyelinGreenFluorescentMyelin	em	579	100	th	1
FluoroMyelinGreenFluorescentMyelin	ex	473	100	th	1
FluoroMyelinRedFluorescentMyelin	em	726	100	th	1
FluoroMyelinRedFluorescentMyelin	ex	344	36	th	1
FluoroMyelinRedFluorescentMyelin	ex	506	100	th	2
FluxORRed	em	576	100	th	1
FluxORRed	ex	552	100	th	1
FluxORThalliumIndicator	em	521	100	th	1
FluxORThalliumIndicator	ex	492	100	th	1
FocalCheckBlueRing	em	413	100	th	1
FocalCheckBlueRing	ex	356	100	th	1
FocalCheckDarkRedRing	em	684	100	th	1
FocalCheckDarkRedRing	ex	656	100	th	1
GFP	em	508	100	bl	1
GFP	ex	489	100	bl	1
GFP	em	508	100	th	1
GFP	ex	489	100	th	1
GreenActin	em	512	100	th	1
GreenActin	ex	505	100	th	1
HCSCellMaskBlueStain	em	444	100	th	1
HCSCellMaskBlueStain	ex	347	100	th	1
HCSCellMaskDeepRedStain	em	670	100	th	1
HCSCellMaskDeepRedStain	ex	649	100	th	1
HCSCellMaskGreenStain	em	517	100	th	1
HCSCellMaskGreenStain	ex	308	23	th	1
HCSCellMaskGreenStain	ex	334	11	th	2
HCSCellMaskGreenStain	ex	493	100	th	3
HCSCellMaskOrangeStain	em	564	100	th	1
HCSCellMaskOrangeStain	em	601	45	th	2
HCSCellMaskOrangeStain	ex	518	49	th	1
HCSCellMaskOrangeStain	ex	551	100	th	2
HCSCellMaskRedStain	em	614	100	th	1
HCSCellMaskRedStain	ex	587	100	th	1
HCSLipidTOXDeepRed	em	651	100	th	1
HCSLipidTOXDeepRed	ex	635	100	th	1
HCSLipidTOXGreenNeutralLipid	em	507	100	th	1
HCSLipidTOXGreenNeutralLipid	ex	498	100	th	1
HCSLipidTOXGreenPhospholipidosisReagent	em	536	100	th	1
HCSLipidTOXGreenPhospholipidosisReagent	ex	504	100	th	1
HCSLipidTOXRedNeutralLipid	em	616	100	th	1
HCSLipidTOXRedNeutralLipid	ex	582	100	th	1
HCSLipidTOXRedPhospholipidosisReagent	em	608	100	th	1
HCSLipidTOXRedPhospholipidosisReagent	ex	584	100	th	1
HCSNuclearMaskBlueStain	em	454	100	th	1
HCSNuclearMaskBlueStain	ex	352	100	th	1
HCSNuclearMaskDeepRed	em	686	100	th	1
HCSNuclearMaskDeepRed	em	725	89	th	2
HCSNuclearMaskDeepRed	ex	603	87	th	1
HCSNuclearMaskDeepRed	ex	638	100	th	2
HCSNuclearMaskRedStain	em	644	100	th	1
HCSNuclearMaskRedStain	ex	322	14	th	1
HCSNuclearMaskRedStain	ex	622	100	th	2
HelixNPBlue	em	470	100	bl	1
HelixNPBlue	ex	431	100	bl	1
HelixNPGreen	em	525	100	bl	1
HelixNPGreen	ex	504	100	bl	1
HelixNPNIR	em	657	100	bl	1
HelixNPNIR	ex	638	100	bl	1
Hoechst33258	em	454	100	bd	1
Hoechst33258	ex	352	100	bd	1
Hoechst33258	em	455	100	bl	1
Hoechst33258	ex	352	100	bl	1
Hoechst33258	em	454	100	th	1
Hoechst33258	ex	352	100	th	1
Hoechst33342	em	454	100	th	1
Hoechst33342	ex	352	100	th	1
Hoechst34580	em	476	100	bd	1
Hoechst34580	ex	360	100	bd	1
HypoxiaGreen	em	517	100	th	1
HypoxiaGreen	ex	498	100	th	1
Image-iTDEADGreenViabilityStain	em	508	100	th	1
Image-iTDEADGreenViabilityStain	ex	491	100	th	1
Image-iTLipidPeroxidationSensor	em	522	25	th	1
Image-iTLipidPeroxidationSensor	em	548	23	th	2
Image-iTLipidPeroxidationSensor	em	597	100	th	3
Image-iTLipidPeroxidationSensor	ex	550	36	th	1
Image-iTLipidPeroxidationSensor	ex	588	100	th	2
Indo-1 (CalciumBound)	em	404	100	th	1
Indo-1 (CalciumBound)	ex	330	100	th	1
Indo-1 (CalciumFree)	em	480	71	th	1
Indo-1 (CalciumFree)	ex	346	100	th	1
Indo-1Hi	em	403	100	bd	1
Indo-1Hi	ex	330	100	bd	1
Indo-1Lo	em	480	100	bd	1
Indo-1Lo	ex	346	100	bd	1
JC-1	em	527	22	bd	1
JC-1	em	595	98	bd	2
JC-1	ex	499	82	bd	1
JC-1	ex	592	97	bd	2
JC-1	em	526	22	th	1
JC-1	em	595	100	th	2
JC-1	ex	498	82	th	1
JC-1	ex	592	100	th	2
JC-10MitochondriaKit	em	524	100	bl	1
JC-10MitochondriaKit	ex	508	100	bl	1
JOE	em	548	100	th	1
JOE	ex	520	100	th	1
JOJO-1	em	544	100	th	1
JOJO-1	ex	501	37	th	1
JOJO-1	ex	530	100	th	2
KIRAVIABlue520	em	518	100	bd	1
KIRAVIABlue520	ex	322	13	bd	1
KIRAVIABlue520	ex	496	100	bd	2
KIRAVIABlue520	em	517	100	bl	1
KIRAVIABlue520	ex	496	100	bl	1
KromeOrange	em	533	100	bd	1
KromeOrange	ex	345	99	bd	1
KromeOrange	ex	360	97	bd	2
KromeOrange	ex	376	100	bd	3
KromeOrange	em	532	99	bl	1
KromeOrange	ex	396	99	bl	1
KromeOrange	em	536	100	th	1
KromeOrange	ex	390	100	th	1
LDS751	em	711	100	th	1
LDS751	ex	560	100	th	1
LiveDeadFixableAqua	em	514	100	bd	1
LiveDeadFixableAqua	ex	370	100	bd	1
LiveDeadFixableAqua	em	525	99	bl	1
LiveDeadFixableAqua	ex	367	100	bl	1
LiveDeadFixableAqua	em	525	100	th	1
LiveDeadFixableAqua	ex	368	100	th	1
LiveDeadFixableBlue	em	440	100	bd	1
LiveDeadFixableBlue	ex	347	100	bd	1
LiveDeadFixableBlue	em	442	100	bl	1
LiveDeadFixableBlue	ex	343	100	bl	1
LiveDeadFixableBlue	em	442	100	th	1
LiveDeadFixableBlue	ex	343	100	th	1
LiveDeadFixableFarRed	em	665	100	bd	1
LiveDeadFixableFarRed	ex	649	100	bd	1
LiveDeadFixableFarRed	em	671	100	bl	1
LiveDeadFixableFarRed	ex	650	100	bl	1
LiveDeadFixableFarRed	em	671	100	th	1
LiveDeadFixableFarRed	ex	650	100	th	1
LiveDeadFixableGreen	em	520	100	bd	1
LiveDeadFixableGreen	ex	329	18	bd	1
LiveDeadFixableGreen	ex	496	100	bd	2
LiveDeadFixableGreen	em	526	100	bl	1
LiveDeadFixableGreen	ex	331	18	bl	1
LiveDeadFixableGreen	ex	498	100	bl	2
LiveDeadFixableGreen	em	526	100	th	1
LiveDeadFixableGreen	ex	331	18	th	1
LiveDeadFixableGreen	ex	498	100	th	2
LiveDeadFixableLime	em	504	100	th	1
LiveDeadFixableLime	ex	410	100	th	1
LiveDeadFixableNIR780	em	662	16	bd	1
LiveDeadFixableNIR780	em	774	100	bd	2
LiveDeadFixableNIR780	ex	749	100	bd	1
LiveDeadFixableNIR780	em	776	100	bl	1
LiveDeadFixableNIR780	ex	753	100	bl	1
LiveDeadFixableNIR780	em	785	100	th	1
LiveDeadFixableNIR780	ex	753	100	th	1
LiveDeadFixableNIR876	em	880	100	th	1
LiveDeadFixableNIR876	ex	439	23	th	1
LiveDeadFixableNIR876	ex	539	12	th	2
LiveDeadFixableNIR876	ex	838	100	th	3
LiveDeadFixableOlive	em	564	100	th	1
LiveDeadFixableOlive	ex	475	100	th	1
LiveDeadFixableOrange	em	603	100	th	1
LiveDeadFixableOrange	ex	578	100	th	1
LiveDeadFixableRed	em	613	100	bl	1
LiveDeadFixableRed	ex	555	31	bl	1
LiveDeadFixableRed	ex	595	100	bl	2
LiveDeadFixableScarlet	em	719	100	th	1
LiveDeadFixableScarlet	ex	696	100	th	1
LiveDeadFixableViolet	em	452	100	bd	1
LiveDeadFixableViolet	ex	421	100	bd	1
LiveDeadFixableViolet	em	455	100	bl	1
LiveDeadFixableViolet	ex	404	100	bl	1
LiveDeadFixableViolet	em	455	100	th	1
LiveDeadFixableViolet	ex	404	100	th	1
LiveDeadFixableYellow	em	546	100	bd	1
LiveDeadFixableYellow	ex	396	100	bd	1
LiveDeadFixableYellow	em	551	100	bl	1
LiveDeadFixableYellow	ex	400	100	bl	1
LiveDeadFixableYellow	em	552	100	th	1
LiveDeadFixableYellow	ex	401	100	th	1
LiveDeadNIR775	em	776	100	th	1
LiveDeadNIR775	ex	752	100	th	1
LuciferYellow	em	543	100	th	1
LuciferYellow	ex	427	100	th	1
LysoSensorBlue	em	424	100	th	1
LysoSensorBlue	em	448	47	th	2
LysoSensorBlue	ex	339	29	th	1
LysoSensorBlue	ex	356	63	th	2
LysoSensorBlue	ex	374	100	th	3
LysoSensorBlue	ex	395	100	th	4
LysoSensorGreen	em	503	100	th	1
LysoSensorGreen	ex	447	100	th	1
LysoSensorYellowBlue (pH3.0)	em	540	91	th	1
LysoSensorYellowBlue (pH3.0)	ex	388	91	th	1
LysoSensorYellowBlue (pH9)	em	529	65	th	1
LysoSensorYellowBlue (pH9)	ex	334	100	th	1
LysoTrackerBlue	em	400	94	th	1
LysoTrackerBlue	em	422	100	th	2
LysoTrackerBlue	em	446	49	th	3
LysoTrackerBlue	ex	338	30	th	1
LysoTrackerBlue	ex	355	64	th	2
LysoTrackerBlue	ex	373	100	th	3
LysoTrackerBlue	ex	394	96	th	4
LysoTrackerDeepRed	em	664	100	th	1
LysoTrackerDeepRed	ex	351	36	th	1
LysoTrackerDeepRed	ex	646	100	th	2
LysoTrackerGreen	em	509	100	th	1
LysoTrackerGreen	ex	500	100	th	1
LysoTrackerRed	em	592	100	th	1
LysoTrackerRed	ex	574	100	th	1
LysoTrackerYellowHCK-123	em	565	100	th	1
LysoTrackerYellowHCK-123	ex	486	100	th	1
LysosomeProbeDeepRed	em	619	100	bl	1
LysosomeProbeDeepRed	ex	596	100	bl	1
LysosomeProbeGreen	em	509	100	bl	1
LysosomeProbeGreen	ex	500	100	bl	1
LysosomeProbeNIR	em	650	100	bl	1
LysosomeProbeNIR	ex	636	100	bl	1
LysosomeProbeOrange	em	565	100	bl	1
LysosomeProbeOrange	ex	543	100	bl	1
LysosomeProbeRed	em	596	100	bl	1
LysosomeProbeRed	ex	576	100	bl	1
MItoProbeTMRM	em	578	100	th	1
MItoProbeTMRM	ex	552	100	th	1
Mag-fura-2	em	503	100	th	1
Mag-fura-2	ex	336	100	th	1
MagnesiumGreen	em	531	100	th	1
MagnesiumGreen	ex	335	16	th	1
MagnesiumGreen	ex	507	100	th	2
MarinaBlue	em	463	100	th	1
MarinaBlue	ex	363	100	th	1
MitoHealthStain	em	508	100	th	1
MitoHealthStain	ex	491	100	th	1
MitoSOXGreen	em	517	100	th	1
MitoSOXGreen	ex	368	31	th	1
MitoSOXGreen	ex	455	100	th	2
MitoSOXRed	em	582	100	th	1
MitoSOXRed	ex	380	60	th	1
MitoSOXRed	ex	499	100	th	2
MitoSpyGreenFM	em	511	100	bl	1
MitoSpyGreenFM	ex	486	100	bl	1
MitoSpyNIR-DilC1	em	658	100	bl	1
MitoSpyNIR-DilC1	ex	639	100	bl	1
MitoSpyOrangeCMTMRos	em	576	100	bl	1
MitoSpyOrangeCMTMRos	ex	553	100	bl	1
MitoSpyRedCMXRos	em	600	100	bl	1
MitoSpyRedCMXRos	ex	578	100	bl	1
MitoStatusRed	em	650	100	bd	1
MitoStatusRed	ex	573	35	bd	1
MitoStatusRed	ex	621	100	bd	2
MitoStatusTMRE	em	574	100	bd	1
MitoStatusTMRE	ex	551	100	bd	1
MitoTrackerDeepRedFM	em	662	100	th	1
MitoTrackerDeepRedFM	ex	641	100	th	1
MitoTrackerGreenFM	em	512	100	bl	1
MitoTrackerGreenFM	ex	490	100	bl	1
MitoTrackerGreenFM	em	512	100	th	1
MitoTrackerGreenFM	ex	490	100	th	1
MitoTrackerOrange	em	575	100	bl	1
MitoTrackerOrange	ex	305	15	bl	1
MitoTrackerOrange	ex	551	100	bl	2
MitoTrackerOrange	em	575	100	th	1
MitoTrackerOrange	ex	304	15	th	1
MitoTrackerOrange	ex	551	100	th	2
MitoTrackerRed	em	599	100	bl	1
MitoTrackerRed	ex	314	18	bl	1
MitoTrackerRed	ex	540	29	bl	2
MitoTrackerRed	ex	578	100	bl	3
MitoTrackerRed	em	599	100	th	1
MitoTrackerRed	ex	314	18	th	1
MitoTrackerRed	ex	540	29	th	2
MitoTrackerRed	ex	578	100	th	3
MitoTrackerRedFM	em	650	100	th	1
MitoTrackerRedFM	ex	604	100	th	1
Monobromobimane (mBBr)	em	490	100	th	1
Monobromobimane (mBBr)	ex	395	100	th	1
Monochlorobimane (mBCI)	em	483	100	th	1
Monochlorobimane (mBCI)	ex	388	100	th	1
NADH	em	464	99	bl	1
NADH	ex	340	99	bl	1
NBD	em	538	100	th	1
NBD	ex	334	38	th	1
NBD	ex	467	100	th	2
Naphthofluorescein	em	673	100	th	1
Naphthofluorescein	ex	361	37	th	1
Naphthofluorescein	ex	423	27	th	2
Naphthofluorescein	ex	599	100	th	3
NeuroTrace435_455BlueFluorescentNisslStain	em	458	100	th	1
NeuroTrace435_455BlueFluorescentNisslStain	ex	433	100	th	1
NeuroTrace515_535YellowFluorescentNisslStain	em	531	100	th	1
NeuroTrace515_535YellowFluorescentNisslStain	ex	514	100	th	1
NeuroTrace530_615RedFluorescentNisslStain	em	618	100	th	1
NeuroTrace530_615RedFluorescentNisslStain	ex	528	100	th	1
NeuroTrace640_660DeepRedFluorescentNisslStain	em	661	100	th	1
NeuroTrace640_660DeepRedFluorescentNisslStain	ex	341	14	th	1
NeuroTrace640_660DeepRedFluorescentNisslStain	ex	642	100	th	2
NileBlue	em	661	99	th	1
NileBlue	ex	326	17	th	1
NileBlue	ex	630	100	th	2
NileRed (phospholipid)	em	637	100	th	1
NileRed (phospholipid)	ex	552	100	th	1
NileRed (triglyceride)	em	583	100	th	1
NileRed (triglyceride)	ex	511	100	th	1
NovaFluorBlue510	em	511	100	bd	1
NovaFluorBlue510	ex	493	100	bd	1
NovaFluorBlue510	em	513	100	th	1
NovaFluorBlue510	ex	492	100	th	1
NovaFluorBlue530	em	525	100	bd	1
NovaFluorBlue530	ex	509	100	bd	1
NovaFluorBlue530	em	527	100	th	1
NovaFluorBlue530	ex	508	100	th	1
NovaFluorBlue555	em	509	17	bd	1
NovaFluorBlue555	em	552	100	bd	2
NovaFluorBlue555	ex	495	100	bd	1
NovaFluorBlue555	ex	537	74	bd	2
NovaFluorBlue555	em	510	28	th	1
NovaFluorBlue555	em	555	100	th	2
NovaFluorBlue555	ex	494	100	th	1
