fluorochrome	type	nm	norm_intensity	source	num
ATTO647N	ex	319	13	bl	1
ATTO647N	ex	598	27	bl	2
ATTO647N	ex	646	100	bl	3
ATTO680	em	697	100	bl	1
ATTO680	ex	680	100	bl	1
AcridineOrange	em	526	100	th	1
AcridineOrange	ex	502	100	th	1
AlexaFluor350	em	442	100	th	1
AlexaFluor350	ex	343	100	th	1
AlexaFluor405	em	418	100	bd	1
AlexaFluor405	ex	377	79	bd	1
AlexaFluor405	ex	401	99	bd	2
AlexaFluor405	em	422	100	bl	1
AlexaFluor405	ex	378	75	bl	1
AlexaFluor405	ex	401	100	bl	2
AlexaFluor405	em	422	100	th	1
AlexaFluor405	ex	378	76	th	1
AlexaFluor405	ex	401	100	th	2
AlexaFluor420	em	511	100	th	1
AlexaFluor420	ex	427	100	th	1
AlexaFluor430	em	539	100	th	1
AlexaFluor430	ex	432	100	th	1
AlexaFluor488	em	517	100	bd	1
AlexaFluor488	ex	334	11	bd	1
AlexaFluor488	ex	494	100	bd	2
AlexaFluor488	em	520	100	bl	1
AlexaFluor488	ex	341	14	bl	1
AlexaFluor488	ex	499	99	bl	2
AlexaFluor488	em	520	100	th	1
AlexaFluor488	ex	341	15	th	1
AlexaFluor488	ex	499	100	th	2
AlexaFluor514	em	542	100	th	1
AlexaFluor514	ex	321	16	th	1
AlexaFluor514	ex	518	100	th	2
AlexaFluor532	em	551	100	bd	1
AlexaFluor532	ex	529	100	bd	1
AlexaFluor532	em	553	100	bl	1
AlexaFluor532	ex	331	16	bl	1
AlexaFluor532	ex	534	100	bl	2
AlexaFluor532	em	553	100	th	1
AlexaFluor532	ex	331	16	th	1
AlexaFluor532	ex	534	100	th	2
AlexaFluor546	em	573	100	th	1
AlexaFluor546	ex	526	33	th	1
AlexaFluor546	ex	561	100	th	2
AlexaFluor555	em	568	100	bl	1
AlexaFluor555	ex	521	50	bl	1
AlexaFluor555	ex	553	100	bl	2
AlexaFluor555	em	568	100	th	1
AlexaFluor555	ex	521	51	th	1
AlexaFluor555	ex	553	100	th	2
AlexaFluor561	em	570	100	bd	1
AlexaFluor561	em	609	43	bd	2
AlexaFluor561	ex	524	52	bd	1
AlexaFluor561	ex	557	100	bd	2
AlexaFluor561	em	569	100	th	1
AlexaFluor561	ex	523	51	th	1
AlexaFluor561	ex	556	100	th	2
AlexaFluor568	em	603	100	bl	1
AlexaFluor568	ex	579	100	bl	1
AlexaFluor568	em	603	100	th	1
AlexaFluor568	ex	579	100	th	1
AlexaFluor594	em	616	100	bd	1
AlexaFluor594	ex	374	13	bd	1
AlexaFluor594	ex	587	100	bd	2
AlexaFluor594	em	618	100	bl	1
AlexaFluor594	ex	377	11	bl	1
