fluorochrome	flow_cytometry	DNA_dye	Ab_conjugate	fluorescent_protein	amine_dye
DiO	0	0	0	0	
DiR	0	0	0	0	
DRAQ5	1	1	0	0	
DRAQ7	1	1	0	0	
DsRed	1	0	0	1	
DsRedDimer2	1	0	0	1	
DsRedExpress	1	0	0	1	
dTomato	1	0	0	1	
DyeCycleGreen	1	1	0	0	
DyeCycleOrange	1	1	0	0	
DyeCycleViolet	1	1	0	0	
DyLight350	0	0	1	0	
DyLight405	0	0	1	0	
DyLight488	0	0	1	0	
DyLight510-LS	0	0	1	0	
DyLight515-LS	0	0	1	0	
DyLight521-LS	0	0	1	0	
DyLight549	0	0	1	0	
DyLight550	0	0	1	0	
DyLight594	0	0	1	0	
DyLight633	0	0	1	0	
DyLight649	0	0	1	0	
DyLight650	0	0	1	0	
DyLight680	0	0	1	0	
DyLight755	0	0	1	0	
DyLight800	0	0	1	0	
eBFP	1	0	0	1	
ECD	0	0	0	0	
eCFP	1	0	0	1	
eFluor450	1	0	1	0	
eFluor506	1	0	1	0	
eFluor520FixableViability	1	0	0	0	
eFluor565	1	0	1	0	
eFluor570	1	0	1	0	
eFluor605	1	0	1	0	
eFluor615	1	0	1	0	
eFluor650	1	0	1	0	
eFluor660	1	0	1	0	
eFluor700	1	0	1	0	
eFluor710	1	0	1	0	
eGFP	1	0	0	1	
ELF97	0	0	0	0	
EndoplasmicReticulumProbeGreen	0	0	0	0	
EndoplasmicReticulumProbeRed	0	0	0	0	
Eosin	1	0	0	0	
EpoxideHydrolaseSubstrate	0	0	0	0	
ER-TrackerBlue-WhiteDPX	0	0	0	0	
ER-TrackerGreen	0	0	0	0	
EthidiumHomodimer	0	0	0	0	
eYFP	1	0	0	1	
FastBlue	0	0	0	0	
FilmTracerCalceinRedOrange	0	0	0	0	
FilmTracerCalceinViolet	0	0	0	0	
FITC	1	0	1	0	
FixableViabilityDyeeFluor450	1	0	0	0	
FixableViabilityDyeeFluor455UV	1	0	0	0	
FixableViabilityDyeeFluor506	1	0	0	0	
FixableViabilityDyeeFluor520	1	0	0	0	
FixableViabilityDyeeFluor660	1	0	0	0	
FixableViabilityDyeeFluor780	1	0	0	0	
FlAsH	0	0	0	0	
FlashPhalloidinGreen488	0	0	0	0	
FlashPhalloidinNIR647	0	0	0	0	
FlashPhalloidinRed594	0	0	0	0	
Fluo-3 (CalciumBound)	1	0	0	0	
Fluo-4 (CalciumBound)	1	0	0	0	
FluoroMyelinGreenFluorescentMyelin	0	0	0	0	
FluoroMyelinRedFluorescentMyelin	0	0	0	0	
FluoSpheresBlueFluorescentMicrospheres	0	0	0	0	
FluoSpheresCrimsonFluorescentMicrospheres	0	0	0	0	
FluoSpheresDarkRedFluorescentMicrospheres	0	0	0	0	
FluoSpheresNileRedFluorescentMicrospheres	0	0	0	0	
FluoSpheresOrangeFluorescentMicrospheres	0	0	0	0	
FluoSpheresRedFluorescentMicrospheres	0	0	0	0	
FluoSpheresYellowGreenFluorescentMicrospheres	0	0	0	0	
FluxORRed	0	0	0	0	
FluxORThalliumIndicator	0	0	0	0	
FM1-43	0	0	0	0	
FM2-10	0	0	0	0	
FM4-64	0	0	0	0	
FM5-95	0	0	0	0	
FocalCheckBlueRing	0	0	0	0	
FocalCheckDarkRedRing	0	0	0	0	
GFP	1	0	0	1	
GreenActin	0	0	0	0	
HCSCellMaskBlueStain	0	0	0	0	
HCSCellMaskDeepRedStain	0	0	0	0	
HCSCellMaskGreenStain	0	0	0	0	
HCSCellMaskOrangeStain	0	0	0	0	
HCSCellMaskRedStain	0	0	0	0	
HCSLipidTOXDeepRed	0	0	0	0	
HCSLipidTOXGreenNeutralLipid	0	0	0	0	
HCSLipidTOXGreenPhospholipidosisReagent	0	0	0	0	
HCSLipidTOXRedNeutralLipid	0	0	0	0	
HCSLipidTOXRedPhospholipidosisReagent	0	0	0	0	
HCSNuclearMaskBlueStain	0	1	0	0	
HCSNuclearMaskDeepRed	0	1	0	0	
HCSNuclearMaskRedStain	0	1	0	0	
HelixNPBlue	1	1	0	0	
HelixNPGreen	1	1	0	0	
HelixNPNIR	1	1	0	0	
Hoechst33258	1	1	0	0	
Hoechst33342	1	1	0	0	
HypoxiaGreen	0	0	0	0	
Image-iTDEADGreenViabilityStain	0	1	0	0	
Image-iTLipidPeroxidationSensor	0	0	0	0	
Indo-1 (CalciumBound)	1	0	0	0	
Indo-1 (CalciumFree)	1	0	0	0	
JC-1	0	0	0	0	
JC-10MitochondriaKit	0	0	0	0	
JOE	0	0	0	0	
JOJO-1	0	0	0	0	
KIRAVIABlue520	1	0	1	0	
KromeOrange	1	0	1	0	
LDS751	0	0	0	0	
LiveDeadFixableAqua	1	0	0	0	
LiveDeadFixableBlue	1	0	0	0	
LiveDeadFixableFarRed	1	0	0	0	
LiveDeadFixableGreen	1	0	0	0	
LiveDeadFixableLime	1	0	0	0	
LiveDeadFixableNIR780	1	0	0	0	
LiveDeadFixableNIR876	1	0	0	0	
LiveDeadFixableOlive	1	0	0	0	
LiveDeadFixableOrange	1	0	0	0	
LiveDeadFixableRed	1	0	0	0	
LiveDeadFixableScarlet	1	0	0	0	
LiveDeadFixableViolet	1	0	0	0	
LiveDeadFixableYellow	1	0	0	0	
LiveDeadNIR775	1	0	0	0	
LuciferYellow	0	0	0	0	
LysoSensorBlue	0	0	0	0	
LysoSensorGreen	0	0	0	0	
LysoSensorYellowBlue (pH3.0)	0	0	0	0	
LysoSensorYellowBlue (pH9)	0	0	0	0	
LysosomeProbeDeepRed	0	0	0	0	
LysosomeProbeGreen	0	0	0	0	
LysosomeProbeNIR	0	0	0	0	
LysosomeProbeOrange	0	0	0	0	
LysosomeProbeRed	0	0	0	0	
LysoTrackerBlue	0	0	0	0	
LysoTrackerDeepRed	0	0	0	0	
LysoTrackerGreen	0	0	0	0	
LysoTrackerRed	0	0	0	0	
LysoTrackerYellowHCK-123	0	0	0	0	
Mag-fura-2	0	0	0	0	
MagnesiumGreen	0	0	0	0	
MarinaBlue	0	0	0	0	
mBanana	1	0	0	1	
mCherry	1	0	0	1	
mHoneyDew	1	0	0	1	
MitoHealthStain	0	0	0	0	
MItoProbeTMRM	0	0	0	0	
MitoSOXGreen	1	0	0	0	
MitoSOXRed	1	0	0	0	
MitoSpyGreenFM	1	0	0	0	
MitoSpyNIR-DilC1	1	0	0	0	
MitoSpyOrangeCMTMRos	1	0	0	0	
MitoSpyRedCMXRos	1	0	0	0	
MitoTrackerDeepRedFM	1	0	0	0	
MitoTrackerGreenFM	1	0	0	0	
MitoTrackerOrange	1	0	0	0	
MitoTrackerRed	1	0	0	0	
MitoTrackerRedFM	1	0	0	0	
Monobromobimane (mBBr)	0	0	0	0	
Monochlorobimane (mBCI)	0	0	0	0	
mOrange	1	0	0	1	
mPlum	1	0	0	1	
mRaspberry	1	0	0	1	
mScarlet	1	0	0	1	
mTangerine	1	0	0	1	
NADH	1	0	0	0	
Naphthofluorescein	0	0	0	0	
NBD	0	0	0	0	
NeuroTrace435_455BlueFluorescentNisslStain	0	0	0	0	
NeuroTrace515_535YellowFluorescentNisslStain	0	0	0	0	
NeuroTrace530_615RedFluorescentNisslStain	0	0	0	0	
NeuroTrace640_660DeepRedFluorescentNisslStain	0	0	0	0	
NileBlue	0	0	0	0	
NileRed (phospholipid)	0	0	0	0	
NileRed (triglyceride)	0	0	0	0	
NovaFluorBlue510	1	0	1	0	
NovaFluorBlue530	1	0	1	0	
NovaFluorBlue555	1	0	1	0	
NovaFluorBlue585	1	0	1	0	
NovaFluorBlue610-30S	1	0	1	0	
NovaFluorBlue610-70S	1	0	1	0	
NovaFluorBlue660-120S	1	0	1	0	
NovaFluorBlue660-40S	1	0	1	0	
NovaFluorBlue690	1	0	1	0	
NovaFluorBlue725	1	0	1	0	
NovaFluorBlue760	1	0	1	0	
NovaFluorBlue800	1	0	1	0	
NovaFluorRed660	1	0	1	0	
NovaFluorRed685	1	0	1	0	
NovaFluorRed700	1	0	1	0	
NovaFluorRed710	1	0	1	0	
NovaFluorRed725	1	0	1	0	
NovaFluorRed755	1	0	1	0	
NovaFluorUV765	1	0	1	0	
NovaFluorViolet690	1	0	1	0	
NovaFluorViolet745	1	0	1	0	
NovaFluorViolet800	1	0	1	0	
NovaFluorYellow570	1	0	1	0	
NovaFluorYellow590	1	0	1	0	
NovaFluorYellow610	1	0	1	0	
NovaFluorYellow660	1	0	1	0	
NovaFluorYellow690	1	0	1	0	
NovaFluorYellow700	1	0	1	0	
NovaFluorYellow730	1	0	1	0	
NovaFluorYellow755	1	0	1	0	
NovaFluorYellow810	1	0	1	0	
OrangeActin	0	0	0	0	
OregonGreen488	1	0	1	0	
OregonGreen488BAPTA	0	0	0	0	
OregonGreen514	0	0	0	0	
PacificBlue	1	0	1	0	
PacificGreen	1	0	1	0	
PacificOrange	1	0	1	0	
PE	1	0	1	0	
PE-AlexaFluor610	1	0	1	0	
PE-AlexaFluor680	1	0	1	0	
PE-AlexaFluor700	1	0	1	0	
PE-CF594	1	0	1	0	
PE-Cy5	1	0	1	0	
PE-Cy5.5	1	0	1	0	
PE-Cy7	1	0	1	0	
PE-Dazzle594	1	0	1	0	
PE-eFluor610	1	0	1	0	
PE-Fire640	1	0	1	0	
PE-Fire700	1	0	1	0	
PE-Fire744	1	0	1	0	
PE-Fire810	1	0	1	0	
PE-TexasRed	1	0	1	0	
PE-Vio615	1	0	1	0	
PE-Vio770	1	0	1	0	
PerCP	1	0	1	0	
PerCP-Cy5.5	1	0	1	0	
PerCP-eFluor710	1	0	1	0	
PerCP-Fire780	1	0	1	0	
PerCP-Fire806	1	0	1	0	
PerCP-Vio700	1	0	1	0	
PicoGreenReagent	0	1	0	0	
PO-PRO-1	1	1	0	0	
PO-PRO-3	1	1	0	0	
POPO-1	1	1	0	0	
POPO-3	1	1	0	0	
PremoCameleonCalciumSensor (CalciumBound)	0	0	0	0	
PremoCameleonCalciumSensor (CalciumFree)	0	0	0	0	
PrestoBlue	0	0	0	0	
Pro-QDiamond	0	0	0	0	
Pro-QEmerald300	0	0	0	0	
PropidiumIodide	1	1	0	0	
Qdot525	1	0	1	0	
Qdot545	1	0	1	0	
Qdot565	1	0	1	0	
Qdot585	1	0	1	0	
Qdot605	1	0	1	0	
Qdot625	1	0	1	0	
Qdot655	1	0	1	0	
Qdot705	1	0	1	0	
Qdot800	1	0	1	0	
QnuclearDeepRedStain	0	1	0	0	
Quinine	0	0	0	0	
RealBlue545	1	1	1	0	
RealBlue780	1	1	1	0	
RealYellow586	1	1	1	0	
ReAsH	0	0	0	0	
RedFluor710	1	0	1	0	
Resazurin	1	0	0	0	
Resorufin	0	0	0	0	
RFP	1	0	0	1	
RH795	0	0	0	0	
Rhod-2 (CalciumBound)	0	0	0	0	
Rhod-5N (CalciumBound)	0	0	0	0	
Rhodamine110	1	0	0	0	
Rhodamine123	1	0	0	0	
Rhodamine6G	1	0	0	0	
RhodamineGreen	1	0	0	0	
RhodamineRed	1	0	0	0	
Riboflavin	0	0	0	0	
ROX (carboxy-X-rhodamine)	0	0	0	0	
SBFI (sodiumBound)	0	0	0	0	
SBFI (sodiumFree)	0	0	0	0	
SNARF1@PH6	0	0	0	0	
SNARF1@PH9	0	0	0	0	
SparkBlue488	1	0	1	0	
SparkBlue515	1	0	1	0	
SparkBlue550	1	0	1	0	
SparkBlue574	1	0	1	0	
SparkNIR685	1	0	1	0	
SparkPlusB550	1	0	1	0	
